id	name	direction	gpr	pathway	enzyme	equation	reference
23PDE4pp	2',3'-cyclic-nucleotide phosphodiesterase (CMP) (periplasm)	>	b4213	Nucleotide Salvage Pathway	3.1.4.16	[p] : 23ccmp + h2o --> 3cmp + h	3005231
23PDE7pp	2',3'-cyclic-nucleotide phosphodiesterase (AMP) (periplasm)	>	b4213	Nucleotide Salvage Pathway	3.1.4.16	[p] : 23camp + h2o --> 3amp + h	3005231
23PDE9pp	2',3'-cyclic-nucleotide phosphodiesterase (GMP) (periplasm)	>	b4213	Nucleotide Salvage Pathway	3.1.4.16	[p] : 23cgmp + h2o --> 3gmp + h	3005231
26DAHtex	meso-2,6-Diaminoheptanedioate transport via diffusion (extracellular to periplasm)	=	( b0241  or  b0929  or  b1377  or  b2215 )	Transport, Outer Membrane Porin		26dap-M[e] <==> 26dap-M[p]	
2AGPA120tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C12:0) transporter via facilitated diffusion (periplasm)	>	b2835	Transport, Inner Membrane		2ddecg3p[p] --> 2ddecg3p[c]	15661733
2AGPA140tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C14:0) transporter via facilitated diffusion (periplasm)	>	b2835	Transport, Inner Membrane		2tdecg3p[p] --> 2tdecg3p[c]	15661733
2AGPA141tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C14:1) transporter via facilitated diffusion (periplasm)	>	b2835	Transport, Inner Membrane		2tdec7eg3p[p] --> 2tdec7eg3p[c]	15661733
2AGPA160tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C16:0) transporter via facilitated diffusion (periplasm)	>	b2835	Transport, Inner Membrane		2hdecg3p[p] --> 2hdecg3p[c]	15661733
2AGPA161tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C16:1) transporter via facilitated diffusion (periplasm)	>	b2835	Transport, Inner Membrane		2hdec9eg3p[p] --> 2hdec9eg3p[c]	15661733
2AGPA180tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C18:0) transporter via facilitated diffusion (periplasm)	>	b2835	Transport, Inner Membrane		2odecg3p[p] --> 2odecg3p[c]	15661733
2AGPA181tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C18:1) transporter via facilitated diffusion (periplasm)	>	b2835	Transport, Inner Membrane		2odec11eg3p[p] --> 2odec11eg3p[c]	15661733
2AGPE120tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0) transporter via facilitated diffusion (periplasm)	>	b2835	Transport, Inner Membrane		2agpe120[p] --> 2agpe120[c]	15661733
2AGPE140tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0) transporter via facilitated diffusion (periplasm)	>	b2835	Transport, Inner Membrane		2agpe140[p] --> 2agpe140[c]	15661733
2AGPE141tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1) transporter via facilitated diffusion (periplasm)	>	b2835	Transport, Inner Membrane		2agpe141[p] --> 2agpe141[c]	15661733
2AGPE160tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0) transporter via facilitated diffusion (periplasm)	>	b2835	Transport, Inner Membrane		2agpe160[p] --> 2agpe160[c]	15661733
2AGPE161tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1) transporter via facilitated diffusion (periplasm)	>	b2835	Transport, Inner Membrane		2agpe161[p] --> 2agpe161[c]	15661733
2AGPE180tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0) transporter via facilitated diffusion (periplasm)	>	b2835	Transport, Inner Membrane		2agpe180[p] --> 2agpe180[c]	15661733
2AGPE181tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1) transporter via facilitated diffusion (periplasm)	>	b2835	Transport, Inner Membrane		2agpe181[p] --> 2agpe181[c]	15661733
2AGPEAT120	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C12:0)	>	b2836	Glycerophospholipid Metabolism	2.3.1.40	[c] : 2agpe120 + atp + ddca --> amp + pe120 + ppi	8300626
2AGPEAT140	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:0)	>	b2836	Glycerophospholipid Metabolism	2.3.1.40	[c] : 2agpe140 + atp + ttdca --> amp + pe140 + ppi	8300626
2AGPEAT141	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:1)	>	b2836	Glycerophospholipid Metabolism	2.3.1.40	[c] : 2agpe141 + atp + ttdcea --> amp + pe141 + ppi	8300626
2AGPEAT160	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:0)	>	b2836	Glycerophospholipid Metabolism	2.3.1.40	[c] : 2agpe160 + atp + hdca --> amp + pe160 + ppi	8300626
2AGPEAT161	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:1)	>	b2836	Glycerophospholipid Metabolism	2.3.1.40	[c] : 2agpe161 + atp + hdcea --> amp + pe161 + ppi	8300626
2AGPEAT180	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:0)	>	b2836	Glycerophospholipid Metabolism	2.3.1.40	[c] : 2agpe180 + atp + ocdca --> amp + pe180 + ppi	8300626
2AGPEAT181	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:1)	>	b2836	Glycerophospholipid Metabolism	2.3.1.40	[c] : 2agpe181 + atp + ocdcea --> amp + pe181 + ppi	8300626
2AGPG120tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0) transporter via facilitated diffusion (periplasm)	>	b2835	Transport, Inner Membrane		2agpg120[p] --> 2agpg120[c]	15661733
2AGPG140tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0) transporter via facilitated diffusion (periplasm)	>	b2835	Transport, Inner Membrane		2agpg140[p] --> 2agpg140[c]	15661733
2AGPG141tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1) transporter via facilitated diffusion (periplasm)	>	b2835	Transport, Inner Membrane		2agpg141[p] --> 2agpg141[c]	15661733
2AGPG160tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0) transporter via facilitated diffusion (periplasm)	>	b2835	Transport, Inner Membrane		2agpg160[p] --> 2agpg160[c]	15661733
2AGPG161tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1) transporter via facilitated diffusion (periplasm)	>	b2835	Transport, Inner Membrane		2agpg161[p] --> 2agpg161[c]	15661733
2AGPG180tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0) transporter via facilitated diffusion (periplasm)	>	b2835	Transport, Inner Membrane		2agpg180[p] --> 2agpg180[c]	15661733
2AGPG181tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1) transporter via facilitated diffusion (periplasm)	>	b2835	Transport, Inner Membrane		2agpg181[p] --> 2agpg181[c]	15661733
2AGPGAT120	2-acyl-glycerophospho-glycerol acyltransferase (n-C12:0)	>	b2836	Glycerophospholipid Metabolism	2.3.1.40	[c] : 2agpg120 + atp + ddca --> amp + pg120 + ppi	8300626
2AGPGAT140	2-acyl-glycerophospho-glycerol acyltransferase (n-C14:0)	>	b2836	Glycerophospholipid Metabolism	2.3.1.40	[c] : 2agpg140 + atp + ttdca --> amp + pg140 + ppi	8300626
2AGPGAT141	2-acyl-glycerophospho-glycerol acyltransferase (n-C14:1)	>	b2836	Glycerophospholipid Metabolism	2.3.1.40	[c] : 2agpg141 + atp + ttdcea --> amp + pg141 + ppi	8300626
2AGPGAT160	2-acyl-glycerophospho-glycerol acyltransferase (n-C16:0)	>	b2836	Glycerophospholipid Metabolism	2.3.1.40	[c] : 2agpg160 + atp + hdca --> amp + pg160 + ppi	8300626
2AGPGAT161	2-acyl-glycerophospho-glycerol acyltransferase (n-C16:1)	>	b2836	Glycerophospholipid Metabolism	2.3.1.40	[c] : 2agpg161 + atp + hdcea --> amp + pg161 + ppi	8300626
2AGPGAT180	2-acyl-glycerophospho-glycerol acyltransferase (n-C18:0)	>	b2836	Glycerophospholipid Metabolism	2.3.1.40	[c] : 2agpg180 + atp + ocdca --> amp + pg180 + ppi	8300626
2AGPGAT181	2-acyl-glycerophospho-glycerol acyltransferase (n-C18:1)	>	b2836	Glycerophospholipid Metabolism	2.3.1.40	[c] : 2agpg181 + atp + ocdcea --> amp + pg181 + ppi	8300626
2DGLCNRx	2-dehydro-D-gluconate reductase (NADH)	>	b3553	Alternate Carbon Metabolism		[c] : 2dhglcn + h + nadh --> glcn + nad	9811658
2DGLCNRy	2-dehydro-D-gluconate reductase (NADPH)	>	b3553	Alternate Carbon Metabolism	1.1.1.215	[c] : 2dhglcn + h + nadph --> glcn + nadp	9811658
2DGULRx	2-dehydro-L-gulonate reductase (NADH)	>	b3553	Alternate Carbon Metabolism		[c] : 2dhguln + h + nadh --> idon-L + nad	9811658
2DGULRy	2-dehydro-L-gulonate reductase (NADPH)	>	b3553	Alternate Carbon Metabolism		[c] : 2dhguln + h + nadph --> idon-L + nadp	9811658
2MAHMP	2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphatase	>	( b0446  or  b1134 )	Cofactor and Prosthetic Group Biosynthesis		[c] : 2mahmp + h2o --> 4ampm + h + pi	
34dhpactex	dihydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm)	=	( b0241  or  b0929  or  b1377  or  b2215 )	Transport, Outer Membrane Porin		34dhpac[e] <==> 34dhpac[p]	
3AMPtex	3AMP transport via diffusion (extracellular to periplasm)	=	( b0241  or  b0929  or  b1377  or  b2215 )	Transport, Outer Membrane Porin		3amp[e] <==> 3amp[p]	
3CMPtex	3CMP transport via diffusion (extracellular to periplasm)	=	( b0241  or  b0929  or  b1377  or  b2215 )	Transport, Outer Membrane Porin		3cmp[e] <==> 3cmp[p]	
3GMPtex	3GMP transport via diffusion (extracellular to periplasm)	=	( b0241  or  b1377  or  b2215  or  b0929 )	Transport, Outer Membrane Porin		3gmp[e] <==> 3gmp[p]	
3HAD100	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0)	>	( b0954  or  b0180 )	Cell Envelope Biosynthesis	4.2.1.60	[c] : 3hdecACP --> h2o + tdec2eACP	8910376
3HAD120	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:0)	>	( b0954  or  b0180 )	Cell Envelope Biosynthesis	4.2.1.61	[c] : 3hddecACP --> h2o + tddec2eACP	8910376
3HAD121	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:1)	>	( b0954  or  b0180 )	Cell Envelope Biosynthesis	4.2.1.61	[c] : 3hcddec5eACP --> h2o + t3c5ddeceACP	8910376
3HAD140	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:0)	>	( b0954  or  b0180 )	Cell Envelope Biosynthesis	4.2.1.61	[c] : 3hmrsACP --> h2o + tmrs2eACP	8910376
3HAD141	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:1)	>	( b0954  or  b0180 )	Cell Envelope Biosynthesis	4.2.1.61	[c] : 3hcmrs7eACP --> h2o + t3c7mrseACP	8910376
3HAD160	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0)	>	( b0954  or  b0180 )	Cell Envelope Biosynthesis	4.2.1.61	[c] : 3hpalmACP --> h2o + tpalm2eACP	8910376
3HAD161	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:1)	>	( b0954  or  b0180 )	Cell Envelope Biosynthesis	4.2.1.61	[c] : 3hcpalm9eACP --> h2o + t3c9palmeACP	8910376
3HAD180	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:0)	>	( b0954  or  b0180 )	Cell Envelope Biosynthesis	4.2.1.61	[c] : 3hoctaACP --> h2o + toctd2eACP	8910376
3HAD181	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:1)	>	( b0180  or  b0954 )	Cell Envelope Biosynthesis	4.2.1.61	[c] : 3hcvac11eACP --> h2o + t3c11vaceACP	8910376
3HAD40	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0)	>	( b0954  or  b0180 )	Cell Envelope Biosynthesis	4.2.1.58	[c] : 3haACP --> but2eACP + h2o	8910376
3HAD60	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C6:0)	>	( b0954  or  b0180 )	Cell Envelope Biosynthesis	4.2.1.58	[c] : 3hhexACP --> h2o + thex2eACP	8910376
3HAD80	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C8:0)	>	( b0954  or  b0180 )	Cell Envelope Biosynthesis	4.2.1.58	[c] : 3hoctACP --> h2o + toct2eACP	8910376
3HCINNMH	3-hydroxycinnamate hydroxylase	>	b0347	Alternate Carbon Metabolism		[c] : 3hcinnm + h + nadh + o2 --> dhcinnm + h2o + nad	9603882
3HPPPNH	3-(3-hydroxy-phenyl)propionate hydroxylase	>	b0347	Alternate Carbon Metabolism		[c] : 3hpppn + h + nadh + o2 --> dhpppn + h2o + nad	9603882
3KGK	3-keto-L-gulonate kinase	>	b3580	Alternate Carbon Metabolism		[c] : 3dhguln + atp --> 3dhgulnp + adp + h	9525947
3NTD2pp	3'-nucleotidase (UMP) (periplasm)	>	b4213	Nucleotide Salvage Pathway		[p] : 3ump + h2o --> pi + uri	3005231
3NTD4pp	3'-nucleotidase (CMP) (periplasm)	>	b4213	Nucleotide Salvage Pathway		[p] : 3cmp + h2o --> cytd + pi	3005231
3NTD7pp	3'-nucleotidase (AMP) (periplasm)	>	b4213	Nucleotide Salvage Pathway		[p] : 3amp + h2o --> adn + pi	3005231
3NTD9pp	3'-nucleotidase (GMP) (periplasm)	>	b4213	Nucleotide Salvage Pathway		[p] : 3gmp + h2o --> gsn + pi	3005231
3OAR100	3-oxoacyl-[acyl-carrier-protein] reductase (n-C10:0)	=	b1093	Cell Envelope Biosynthesis	1.1.1.100	[c] : 3odecACP + h + nadph <==> 3hdecACP + nadp	
3OAR120	3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:0)	=	b1093	Cell Envelope Biosynthesis	1.1.1.100	[c] : 3oddecACP + h + nadph <==> 3hddecACP + nadp	
3OAR121	3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:1)	>	b1093	Cell Envelope Biosynthesis	1.1.1.100	[c] : 3ocddec5eACP + h + nadph --> 3hcddec5eACP + nadp	
3OAR140	3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0)	=	b1093	Cell Envelope Biosynthesis	1.1.1.100	[c] : 3omrsACP + h + nadph <==> 3hmrsACP + nadp	
3OAR141	3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:1)	>	b1093	Cell Envelope Biosynthesis	1.1.1.100	[c] : 3ocmrs7eACP + h + nadph --> 3hcmrs7eACP + nadp	
3OAR160	3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:0)	=	b1093	Cell Envelope Biosynthesis	1.1.1.100	[c] : 3opalmACP + h + nadph <==> 3hpalmACP + nadp	
3OAR161	3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:1)	>	b1093	Cell Envelope Biosynthesis	1.1.1.100	[c] : 3ocpalm9eACP + h + nadph --> 3hcpalm9eACP + nadp	
3OAR180	3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:0)	=	b1093	Cell Envelope Biosynthesis	1.1.1.100	[c] : 3ooctdACP + h + nadph <==> 3hoctaACP + nadp	
3OAR181	3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:1)	>	b1093	Cell Envelope Biosynthesis	1.1.1.100	[c] : 3ocvac11eACP + h + nadph --> 3hcvac11eACP + nadp	
3OAR40	3-oxoacyl-[acyl-carrier-protein] reductase (n-C4:0)	=	b1093	Cell Envelope Biosynthesis	1.1.1.100	[c] : actACP + h + nadph <==> 3haACP + nadp	
3OAR60	3-oxoacyl-[acyl-carrier-protein] reductase (n-C6:0)	=	b1093	Cell Envelope Biosynthesis	1.1.1.100	[c] : 3ohexACP + h + nadph <==> 3hhexACP + nadp	
3OAR80	3-oxoacyl-[acyl-carrier-protein] reductase (n-C8:0)	=	b1093	Cell Envelope Biosynthesis	1.1.1.100	[c] : 3ooctACP + h + nadph <==> 3hoctACP + nadp	
3OAS100	3-oxoacyl-[acyl-carrier-protein] synthase (n-C10:0)	>	( b2323  or  b1095 )	Cell Envelope Biosynthesis	2.3.1.41	[c] : h + malACP + ocACP --> 3odecACP + ACP + co2	
3OAS120	3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:0)	>	( b2323  or  b1095 )	Cell Envelope Biosynthesis	2.3.1.41	[c] : dcaACP + h + malACP --> 3oddecACP + ACP + co2	
3OAS121	3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:1)	>	b2323	Cell Envelope Biosynthesis	2.3.1.41	[c] : cdec3eACP + h + malACP --> 3ocddec5eACP + ACP + co2	
3OAS140	3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:0)	>	( b2323  or  b1095 )	Cell Envelope Biosynthesis	2.3.1.41	[c] : ddcaACP + h + malACP --> 3omrsACP + ACP + co2	
3OAS141	3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:1)	>	b2323	Cell Envelope Biosynthesis	2.3.1.41	[c] : cddec5eACP + h + malACP --> 3ocmrs7eACP + ACP + co2	
3OAS160	3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:0)	>	( b2323  or  b1095 )	Cell Envelope Biosynthesis	2.3.1.41	[c] : h + malACP + myrsACP --> 3opalmACP + ACP + co2	
3OAS161	3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:1)	>	b2323	Cell Envelope Biosynthesis	2.3.1.41	[c] : h + malACP + tdeACP --> 3ocpalm9eACP + ACP + co2	
3OAS180	3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:0)	>	( b1095  or  b2323 )	Cell Envelope Biosynthesis	2.3.1.41	[c] : h + malACP + palmACP --> 3ooctdACP + ACP + co2	
3OAS181	3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:1)	>	b1095	Cell Envelope Biosynthesis	2.3.1.41	[c] : h + hdeACP + malACP --> 3ocvac11eACP + ACP + co2	
3OAS60	3-oxoacyl-[acyl-carrier-protein] synthase (n-C6:0)	>	( b2323  or  b1095 )	Cell Envelope Biosynthesis	2.3.1.41	[c] : butACP + h + malACP --> 3ohexACP + ACP + co2	
3OAS80	3-oxoacyl-[acyl-carrier-protein] synthase (n-C8:0)	>	( b2323  or  b1095 )	Cell Envelope Biosynthesis	2.3.1.41	[c] : h + hexACP + malACP --> 3ooctACP + ACP + co2	
3PEPTabcpp	tripeptide (LalaDgluMdap) transport via ABC system (periplasm)	>	( b1329  and  b1244  and  b1245  and  b1246  and  b1247 )	Murein Recycling		LalaDgluMdap[p] + atp[c] + h2o[c] --> LalaDgluMdap[c] + adp[c] + h[c] + pi[c]	9495761
3PEPTtex	LalaDgluMdap (tripeptide) transport via diffusion (extracellular to periplasm)	=	( b0241  or  b0929  or  b1377  or  b2215 )	Transport, Outer Membrane Porin		LalaDgluMdap[e] <==> LalaDgluMdap[p]	
3UMPtex	3UMP transport via diffusion (extracellular to periplasm)	=	( b0241  or  b0929  or  b1377  or  b2215 )	Transport, Outer Membrane Porin		3ump[e] <==> 3ump[p]	
42A12BOOXpp	4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)	>	b1386	Nitrogen Metabolism	1.4.3.6	[p] : dopa + h2o + o2 --> 34dhpac + h2o2 + nh4	11729263
4HOXPACDtex	4-hydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm)	=	( b0241  or  b0929  or  b1377  or  b2215 )	Transport, Outer Membrane Porin		4hoxpacd[e] <==> 4hoxpacd[p]	
4HTHRS	4-Hydroxy-L-threonine synthase	>	b0004	Cofactor and Prosthetic Group Biosynthesis		[c] : h2o + phthr --> 4hthr + pi	
4PCP	tetrapeptide L,D-carboxypeptidase	>	b1192	Murein Recycling		[c] : LalaDgluMdapDala + h2o --> LalaDgluMdap + ala-D	10428950
4PCPpp	tetrapeptide L,D-carboxypeptidase (periplasm)	>		Murein Recycling		[p] : LalaDgluMdapDala + h2o --> LalaDgluMdap + ala-D	
4PEPTabcpp	tetrapeptide (LalaDgluMdapDala) transport via ABC system (periplasm)	>	( b1243  and  b1244  and  b1245  and  b1246  and  b1247 )	Murein Recycling		LalaDgluMdapDala[p] + atp[c] + h2o[c] --> LalaDgluMdapDala[c] + adp[c] + h[c] + pi[c]	9495761
4PEPTtex	LalaDgluMdapDala (pentapeptide) transport via diffusion (extracellular to periplasm)	=	( b0241  or  b0929  or  b1377  or  b2215 )	Transport, Outer Membrane Porin		LalaDgluMdapDala[e] <==> LalaDgluMdapDala[p]	
5DGLCNR	5-dehydro-D-gluconate reductase	=	b4266	Alternate Carbon Metabolism	1.1.1.69	[c] : 5dglcn + h + nadph <==> glcn + nadp	9658018
5DGLCNt2rpp	5-Dehydro-D-gluconate transport via proton symport, reversible (periplasm)	=	b4265	Transport, Inner Membrane		5dglcn[p] + h[p] <==> 5dglcn[c] + h[c]	
5DGLCNtex	5-Dehydro-D-gluconate transport via diffusion (extracellular to periplasm)	=	( b0241  or  b1377  or  b0929  or  b2215 )	Transport, Outer Membrane Porin		5dglcn[e] <==> 5dglcn[p]	
5DOAN	5'-deoxyadenosine nuclosidase	>	b0159	Cofactor and Prosthetic Group Biosynthesis		[c] : dad-5 + h2o --> 5drib + ade	15911379
A5PISO	arabinose-5-phosphate isomerase	=	( b2708  or  b3197 )	Alternate Carbon Metabolism	5.3.1.13	[c] : ru5p-D <==> ara5p	12805358
AACPS1	acyl-[acyl-carrier-protein] synthetase (n-C14:0)	>	( b2836  and  b1094 )	Cell Envelope Biosynthesis	6.2.1.20	[c] : ACP + atp + ttdca --> amp + myrsACP + ppi	8300626
AACPS2	acyl-[acyl-carrier-protein] synthetase  (n-C14:1)	>	( b2836  and  b1094 )	Cell Envelope Biosynthesis	6.2.1.20	[c] : ACP + atp + ttdcea --> amp + ppi + tdeACP	8300626
AACPS3	acyl-[acyl-carrier-protein] synthetase  (n-C16:0)	>	( b2836  and  b1094 )	Cell Envelope Biosynthesis	6.2.1.20	[c] : ACP + atp + hdca --> amp + palmACP + ppi	8300626
AACPS4	acyl-[acyl-carrier-protein] synthetase  (n-C16:1)	>	( b2836  and  b1094 )	Cell Envelope Biosynthesis	6.2.1.20	[c] : ACP + atp + hdcea --> amp + hdeACP + ppi	8300626
AACPS5	acyl-[acyl-carrier-protein] synthetase  (n-C18:1)	>	( b2836  and  b1094 )	Cell Envelope Biosynthesis	6.2.1.20	[c] : ACP + atp + ocdcea --> amp + octeACP + ppi	8300626
AACPS6	acyl-[acyl-carrier-protein] synthetase  (n-C18:0)	>	( b2836  and  b1094 )	Cell Envelope Biosynthesis	6.2.1.20	[c] : ACP + atp + ocdca --> amp + ocdcaACP + ppi	8300626
AACPS7	acyl-[acyl-carrier-protein] synthetase  (n-C12:0)	>	( b2836  and  b1094 )	Cell Envelope Biosynthesis	6.2.1.20	[c] : ACP + atp + ddca --> amp + ddcaACP + ppi	8300626
AACPS8	acyl-[acyl-carrier-protein] synthetase  (n-C10:0)	>	( b2836  and  b1094 )	Cell Envelope Biosynthesis	6.2.1.20	[c] : ACP + atp + dca --> amp + dcaACP + ppi	8300626
AACPS9	acyl-[acyl-carrier-protein] synthetase  (n-C8:0)	>	( b2836  and  b1094 )	Cell Envelope Biosynthesis	6.2.1.20	[c] : ACP + atp + octa --> amp + ocACP + ppi	8300626
AACTOOR	Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing)	>		Methylglyoxal Metabolism		[c] : aact + h2o + o2 --> h2o2 + mthgxl + nh4	
AADDGT	dTDP-N-4-acetamido-4,6-dideoxy-D-galactose transferase	>	b4481	Cell Envelope Biosynthesis		[c] : dtdp4aaddg + unagamu --> dtdp + h + unagamuf	11673418
AAMYL	alpha-amylase	>	b1927	Alternate Carbon Metabolism		[c] : 14glucan --> malthx	
AAMYLpp	alpha-amylase (periplasm)	>	b3571	Alternate Carbon Metabolism		[p] : 14glucan --> malthx	
AB6PGH	Arbutin 6-phosphate glucohydrolase	>	b2901	Alternate Carbon Metabolism	3.2.1.86	[c] : arbt6p + h2o --> g6p + hqn	4576407
